t,x1,x2
0.0,1.0,-2.0
0.01,0.980392,-1.960784
0.02,0.961168473664,-1.9223369473280003
0.03,0.9423218822323963,-1.8846437644647929
0.04,0.9238448347655835,-1.847689669531167
0.05,0.9057300852455,-1.811460170491
0.060000000000000005,0.8879705297340063,-1.7759410594680127
0.07,0.8705592035869818,-1.7411184071739636
0.08,0.8534892787230483,-1.7069785574460963
0.09,0.8367540609458467,-1.6735081218916932
0.09999999999999999,0.8203469873188205,-1.6406939746376412
0.10999999999999999,0.804261623591473,-1.6085232471829465
0.11999999999999998,0.7884916616760914,-1.5769833233521828
0.12999999999999998,0.7730309171739466,-1.5460618343478931
0.13999999999999999,0.7578733269499998,-1.515746653899999
0.15,0.7430129467551642,-1.4860258935103285
0.16,0.7284439488951889,-1.4568878977903776
0.17,0.714160619945252,-1.428321239890504
0.18000000000000002,0.7001573585093656,-1.4003147170187311
0.19000000000000003,0.6864286730237139,-1.3728573460474278
0.20000000000000004,0.6729691796030649,-1.3459383592061298
0.21000000000000005,0.659773599929408,-1.319547199858816
0.22000000000000006,0.6468367591819921,-1.2936735183639845
0.23000000000000007,0.6341535840079516,-1.2683071680159033
0.24000000000000007,0.6217191005327237,-1.2434382010654474
0.25000000000000006,0.6095284324094781,-1.2190568648189561
0.26000000000000006,0.597576798906793,-1.1951535978135859
0.2700000000000001,0.5858595130338287,-1.1717190260676573
0.2800000000000001,0.5743719797022614,-1.1487439594045223
0.2900000000000001,0.5631096939242595,-1.1262193878485187
0.3000000000000001,0.5520682390457926,-1.1041364780915852
0.3100000000000001,0.5412432850145827,-1.0824865700291655
0.3200000000000001,0.5306305866820168,-1.0612611733640334
0.3300000000000001,0.5202259821383558,-1.0404519642767114
0.34000000000000014,0.510025391080587,-1.0200507821611737
0.35000000000000014,0.5000248132122789,-1.0000496264245575
0.36000000000000015,0.4902203266748125,-0.9804406533496252
0.37000000000000016,0.4806080865093728,-0.9612161730187457
0.38000000000000017,0.47118432314909703,-0.9423686462981942
0.3900000000000002,0.46194534094078954,-0.923890681881579
0.4000000000000002,0.45288751669562255,-0.9057750333912451
0.4100000000000002,0.4440072982682548,-0.8880145965365094
0.4200000000000002,0.4353012031638109,-0.8706024063276218
0.4300000000000002,0.4267658171721749,-0.8535316343443496
0.4400000000000002,0.4183977930290629,-0.8367955860581259
0.45000000000000023,0.410193849103349,-0.820387698206698
0.46000000000000024,0.4021507681101305,-0.8043015362202612
0.47000000000000025,0.3942653958490271,-0.7885307916980543
0.48000000000000026,0.3865346399672194,-0.7730692799344385
0.49000000000000027,0.37895546874674213,-0.7579109374934844
0.5000000000000002,0.37152490991555603,-0.7430498198311118
0.5100000000000002,0.36424004948193184,-0.7284800989638636
0.5200000000000002,0.3570980305916901,-0.7141960611833802
0.5300000000000002,0.35009605240784825,-0.7001921048156964
0.5400000000000003,0.34323136901223517,-0.6864627380244702
0.5500000000000003,0.33650128832864323,-0.6730025766572865
0.5600000000000003,0.3299031710670952,-0.6598063421341904
0.5700000000000003,0.3234344296888116,-0.6468688593776232
0.5800000000000003,0.31709252739147337,-0.6341850547829467
0.5900000000000003,0.31087497711438133,-0.6217499542287627
0.6000000000000003,0.30477934056312256,-0.609558681126245
0.6100000000000003,0.29880322725336084,-0.5976064545067217
0.6200000000000003,0.2929442935733769,-0.5858885871467537
0.6300000000000003,0.28720024186499016,-0.5744004837299804
0.6400000000000003,0.28156881952250146,-0.5631376390450028
0.6500000000000004,0.27604781810930423,-0.5520956362186086
0.6600000000000004,0.270635072491817,-0.541270144983634
0.6700000000000004,0.26532845999039745,-0.5306569199807949
0.6800000000000004,0.26012589954690574,-0.5202517990938113
0.6900000000000004,0.25502535090859,-0.5100507018171799
0.7000000000000004,0.25002481382797437,-0.500049627655949
0.7100000000000004,0.24512232727843544,-0.490244654556871
0.7200000000000004,0.24031596868515986,-0.4806319373703197
0.7300000000000004,0.23560385317118124,-0.47120770634236253
0.7400000000000004,0.2309841328182007,-0.4619682656364015
0.7500000000000004,0.22645499594190144,-0.4529099918838029
0.7600000000000005,0.22201466638147263,-0.44402933276294543
0.7700000000000005,0.2176614028030647,-0.4353228056061294
0.7800000000000005,0.21339349801690222,-0.4267869960338043
0.7900000000000005,0.2092092783077868,-0.4184185566155737
0.8000000000000005,0.2051071027787277,-0.41021420555745547
0.8100000000000005,0.20108536270744243,-0.40217072541488486
0.8200000000000005,0.1971424809154749,-0.39428496183094974
0.8300000000000005,0.19327691114968426,-0.3865538222993684
0.8400000000000005,0.18948713747586124,-0.37897427495172253
0.8500000000000005,0.18577167368423456,-0.37154334736846917
0.8600000000000005,0.1821290627066341,-0.3642581254132681
0.8700000000000006,0.17855787604508241,-0.3571157520901649
0.8800000000000006,0.17505671321159044,-0.3501134264231808
0.8900000000000006,0.1716242011789376,-0.3432484023578752
0.9000000000000006,0.16825899384222098,-0.3365179876844419
0.9100000000000006,0.16495977149096272,-0.32991954298192533
0.9200000000000006,0.16172524029156793,-0.32345048058313597
0.9300000000000006,0.15855413177993086,-0.3171082635598617
0.9400000000000006,0.15544520236398998,-0.31089040472797996
0.9500000000000006,0.15239723283603687,-0.3047944656720737
0.9600000000000006,0.14940902789458788,-0.2988180557891757
0.9700000000000006,0.1464794156756308,-0.2929588313512616
0.9800000000000006,0.14360724729306304,-0.2872144945861261
0.9900000000000007,0.14079139638814067,-0.28158279277628134
